date,play,units,line,win,loss,push,league,netunits
1/17/21,7 Pt Teaser: TB +10 w/ KC -1.5 (3u),3,-140,1,0,0,nfl,3
1/17/21,7 Pt Teaser: GB pk w/ KC -2.5 (2u),2,-140,1,0,0,nfl,2
1/17/21,Panthers Moneyline,1,-145,1,0,0,nhl,1
1/17/21,Nuggets +1,1,-110,0,1,0,nba,-1.1
1/17/21,Memphis Moneyline,1,-120,0,1,0,cbb,-1.2
1/18/21,Blues Moneyline,2,-180,1,0,0,nhl,2
1/18/21,Blue Jackets Moneyline,1,-160,1,0,0,nhl,1
1/18/21,Oilers Moneyline,1,-110,0,1,0,nhl,-1.1
1/18/21,St Johns +8,1,-110,1,0,0,cbb,1
1/18/21,Heat -5.5,1,-110,1,0,0,nba,1
1/18/21,Raptors -4.5,1,-110,1,0,0,nba,1
1/18/21,Rockets Moneyline,1,-120,0,1,0,nba,-1.2
1/19/21,Avalanche 3-Way Moneyline (2u),2,-160,1,0,0,nhl,2
1/19/21,Rangers Moneyline,1,-150,0,1,0,nhl,-1.5
1/19/21,Capitals TT Over 2.5,1,-140,1,0,0,nhl,1
1/19/21,Tennessee St Moneyline,1,-110,0,1,0,cbb,-1.1
1/19/21,Thunder 1st Q Under 56.5,1,-110,0,1,0,nba,-1.1
1/20/21,Leafs Over 6.5,1,-120,0,1,0,nhl,-1.2
1/20/21,Canucks +1,1,-145,1,0,0,nhl,1
1/20/21,Houston 1st Half -6,1,-115,1,0,0,cbb,1
1/20/21,76ers -5,1,-110,1,0,0,nba,1
1/20/21,Kings +10,1,-110,0,1,0,nba,-1.1
1/21/21,Islanders Moneyline (2u),2,-150,1,0,0,nhl,2
1/21/21,Memphis -2.5,1,-110,1,0,0,cbb,1
1/21/21,Eastern Illinois +13,1,-110,0,0,1,cbb,1
1/21/21,Montana Moneyline,1,-160,1,0,0,cbb,-1.1
1/21/21,UCLA 1st Half -5,1,-110,0,1,0,cbb,-1.1
1/21/21,Pelicans +7,1,-110,0,1,0,nba,2
1/22/21,Avalanche Moneyline (2u),2,-200,1,0,0,nhl,1.2
1/22/21,Sabres Moneyline ,1,-120,0,1,0,nhl,-1.8
1/22/21,Sharks +1.5,1,-180,0,1,0,nhl,1
1/22/21,Wyoming +4,1,-110,1,0,0,cbb,1
1/22/21,Kings -4,1,-110,1,0,0,nba,1
1/22/21,Nuggets +1.5,1,-110,1,0,0,nba,-1.1
1/23/21,Flyers Team Total Over 2.5,1,-110,0,1,0,nhl,-1.1
1/23/21,Lafayette -6,1,-115,0,1,0,cbb,-1.1
1/23/21,Florida Atlantic Moneyline ,1,-110,0,1,0,cbb,1
1/23/21,Georgia Tech Over 124,1,-110,1,0,0,cbb,1
1/23/21,Nets Over 232,1,-110,1,0,0,nba,1
1/23/21,Muradov Moneyline,1,-160,1,0,0,ufc,1
1/24/21,Sabres Moneyline,1,-120,1,0,0,nhl,1
1/24/21,Knights Moneyline,1,-150,1,0,0,nhl,-1.3
1/24/21,Flames Team Total Over 2.5 ,1,-130,0,1,0,nhl,-1.5
1/24/21,Islanders Moneyline,1,-150,0,1,0,nhl,-1.1
1/24/21,Bradley +7,1,-110,0,1,0,cbb,1
1/24/21,Bucks -8,1,-110,1,0,0,nba,1
1/24/21,Chiefs Moneyline,1,-160,1,0,0,nfl,-1.6
1/24/21,Packers Moneyline,1,-160,0,1,0,nfl,1
1/25/21,Canucks Moneyline,1,-150,1,0,0,nhl,-1.1
1/25/21,Canucks Under 6.5,1,-110,0,1,0,nhl,0
1/25/21,Bradley +7,1,-110,0,0,1,cbb,1
1/25/21,Texas Tech +2,1,-110,1,0,0,cbb,1
